"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0001","SCOMNET","162","0.835","0.825","0.835","-0.010","0.835","0.820","1.400","0.795","4249","3.03%","23","452940","39%","-0.023","3.74","22.66","Active","Real Time"
="0002","KOTRA","162","4.200","4.260","4.210","+0.050","4.260","4.200","4.690","3.850","42","5.99%","29","5905","46%","0.002","28.64","14.88","Active","Real Time"
="0005","UCREST","405","0.075","0.080","0.075","+0.005","0.080","0.075","0.145","0.065","67092","","73","578620","63%","","0.69","11.52","Active","Real Time"
="0006","PINEAPP","405","","","0.600","","-","-","0.740","0.550","0","","-","150300","45%","-0.009","-3.64","","Active","Real Time"
="0007","PUC","463","0.025","0.020","0.025","-0.005","0.025","0.020","0.050","0.010","6954","","14","2095430","50%","","-3.06","","Active","Real Time"
="0008","WILLOW","105","0.275","0.275","0.275","-","0.275","0.275","0.320","0.240","2560","5.45%","20","269185","53%","0.001","-3.86","","Active","Real Time"
="0010","IRIS","405","0.265","0.275","0.260","+0.015","0.275","0.260","0.360","0.235","7790","7.27%","84","195830","62%","0.001","2.91","9.38","Active","Real Time"
="0011","BTECH","465","0.270","0.270","0.270","-","0.270","0.260","0.330","0.235","90","3.70%","59","164115","46%","0.001","3.68","7.33","Active","Real Time"
="0012","3A","101","0.730","0.730","0.730","-","0.730","0.730","0.930","0.705","47","3.84%","32","72310","67%","","8.89","8.27","Active","Real Time"
="0017","XOXTECH","463","0.075","0.075","0.075","-","0.080","0.070","0.075","0.025","243639","","52","6138790","85%","0.004","1.00","4.10","Active","Real Time"
="0018","LAMBO","405","","","0.005","","-","-","0.025","0.005","0","","-","5769605","25%","-0.004","0.19","2.64","Suspended, Alert","Real Time"
="0020","NETX","405","0.040","0.045","0.035","+0.010","0.050","0.040","0.125","0.030","213782","","64","56460","50%","-0.001","-3.02","","Active","Real Time"
="0020WD","NETX-WD","405","","","0.005","","-","-","0.030","0.005","0","","-","62780","50%","","","","Active","Real Time"
="0022","PARLO","401","0.020","0.020","0.020","-","0.020","0.020","0.065","0.010","155","","100","510200","67%","","-1.41","","Active","Real Time"
="0022WA","PARLO-WA","401","","","0.005","","-","-","0.020","0.005","0","","-","68470","100%","","","","Active","Real Time"
="0023","IFCAMSC","405","0.335","0.345","0.335","+0.010","0.350","0.330","0.760","0.240","76214","2.90%","71","6115295","63%","0.012","2.86","11.01","Active","Real Time"
="0024","JAG","402","0.260","0.260","0.260","-","0.265","0.255","0.345","0.190","58565","","89","6154270","71%","0.004","0.96","30.05","Active","Real Time"
="0024WC","JAG-WC","402","0.030","0.030","0.030","-","0.030","0.025","0.045","0.015","3715","","100","719950","57%","0.001","","","Active","Real Time"
="0025","YBS","402","0.295","0.300","0.295","+0.005","0.300","0.290","0.825","0.220","6867","","76","656570","50%","0.003","-3.57","","Active","Real Time"
="0026","NOVAMSC","405","0.050","0.045","0.045","-","0.050","0.045","0.180","0.040","9608","","-","835620","43%","","-0.57","","Active","Real Time"
="0028","SCOPE","402","0.125","0.125","0.125","-","0.130","0.125","0.130","0.070","7425","","34","2280455","69%","0.005","-0.74","","Active","Real Time"
="0029","DIGISTA","105","0.035","0.040","0.040","-","0.040","0.035","0.065","0.030","134","","1","566950","50%","","-1.37","","Active","Real Time"
="0029WC","DIGISTA-WC","105","","","0.005","","-","-","0.020","0.005","0","","-","43600","50%","-0.002","","","Active","Real Time"
="0029WD","DIGISTA-WD","105","","","0.005","","-","-","0.025","0.005","0","","-","189520","50%","-0.001","","","Active","Real Time"
="0032","REDTONE","163","0.510","0.500","0.510","-0.010","0.510","0.495","1.040","0.455","12283","4.00%","54","824060","63%","0.002","3.41","14.75","Active","Real Time"
="0032CD","REDTONE-CD","363","0.005","0.005","0.005","-","0.005","0.005","0.020","0.005","5000","","-","186355","33%","-0.003","","","Active","Real Time"
="0034","MMAG","464","0.655","0.655","0.660","-0.005","0.660","0.655","0.800","0.270","546","","5","318630","80%","0.007","-3.86","","Active","Real Time"
="0034WC","MMAG-WC","464","","","0.505","","-","-","0.640","0.200","0","","-","32010","61%","","","","Active","Real Time"
="0035","HEXCAP","463","0.220","0.220","0.215","+0.005","0.225","0.215","0.390","0.205","6725","","46","2018695","33%","-0.004","-0.77","","Active","Real Time"
="0036","KGROUP","405","0.130","0.135","0.135","-","0.135","0.125","0.330","0.005","1742","","93","282155","57%","0.002","-0.40","","Active","Real Time"
="0037","RGB","101","0.275","0.275","0.275","-","0.280","0.275","0.475","0.260","20131","14.55%","79","2795330","50%","-0.002","5.98","4.66","Active","Real Time"
="0038","ARTRONIQ","402","0.085","0.085","0.085","-","0.090","0.085","0.125","0.055","7134","","75","485220","50%","0.001","-1.37","","Active","Real Time"
="0038WA","ARTRONIQ-WA","402","0.005","0.005","0.005","-","0.005","0.005","0.045","0.005","1401","","79","650785","50%","","","","Active","Real Time"
="0039","GFM","102","0.200","0.210","0.200","+0.010","0.210","0.200","0.285","0.165","19739","2.29%","73","994140","67%","0.002","3.13","6.72","Active","Real Time"
="0039WD","GFM-WD","102","0.050","0.060","0.055","+0.005","0.060","0.050","0.135","0.045","12767","","58","392300","67%","","","","Active","Real Time"
="0040","OPENSYS","105","0.320","0.320","0.320","-","0.320","0.315","0.375","0.290","2600","5.63%","94","355305","50%","","2.67","11.94","Active","Real Time"
="0041","HONGSENG","105","0.005","0.005","0.005","-","0.010","0.005","0.015","0.005","4315","","39","1098345","43%","","0.25","2.28","Active","Real Time"
="0043","MTRONIC","102","0.015","0.015","0.015","-","0.015","0.010","0.020","0.005","19869","","63","1170140","50%","","-0.68","","Active","Real Time"
="0045","SSB8","403","0.540","0.585","0.545","+0.040","0.585","0.540","0.670","0.375","66119","1.71%","78","1362815","54%","-0.004","1.77","30.42","Active","Real Time"
="0048","ANCOMLB","464","0.090","0.090","0.090","-","0.090","0.090","0.140","0.085","260","","-","307135","50%","-0.001","-0.21","60.25","Active","Real Time"
="0049","OCNCASH","101","0.225","0.225","0.225","-","0.230","0.220","0.435","0.190","15931","0.04%","38","2796615","59%","0.003","-0.09","","Active","Real Time"
="0050","SYSTECH","405","0.160","0.170","0.165","+0.005","0.170","0.160","0.335","0.125","18830","","23","623285","75%","0.002","-1.17","","Active","Real Time"
="0050WA","SYSTECH-WA","405","0.035","0.035","0.040","-0.005","0.035","0.035","0.115","0.025","45","","100","367130","75%","0.001","","","Active","Real Time"
="0051","CUSCAPI","105","0.145","0.155","0.145","+0.010","0.160","0.145","0.265","0.130","41548","","93","503695","43%","-0.003","1.40","11.13","Active","Real Time"
="0053","OSKVI","410","0.630","0.630","0.620","+0.010","0.630","0.630","0.670","0.450","97","","49","25100","60%","0.013","11.97","5.30","Active","Real Time"
="0054","KARYON","102","0.155","0.155","0.155","-","0.155","0.155","0.190","0.120","310","2.45%","-","272600","54%","","1.87","8.28","Active","Real Time"
="0055","SERSOL","402","0.020","0.025","0.020","+0.005","0.025","0.020","0.115","0.015","2243","","100","2882740","50%","","-0.46","","Active","Real Time"
="0055WB","SERSOL-WB","402","0.020","0.020","0.015","+0.005","0.020","0.020","0.055","0.005","2","","100","103670","45%","-0.003","","","Active","Real Time"
="0056","NCT","120","0.490","0.490","0.490","-","0.490","0.490","0.520","0.440","1600","","47","877045","52%","0.003","2.34","26.23","Active","Real Time"
="0058","JCBNEXT","102","1.770","1.770","1.750","+0.020","1.770","1.770","1.790","1.550","50","","100","13900","50%","0.013","38.83","4.55","Active","Real Time"
="0059","ECOHLDS","163","0.030","0.035","0.030","+0.005","0.035","0.030","0.060","0.020","2800","","100","49775","50%","","-7.89","","Active","Real Time"
="0060","HM","405","0.145","0.150","0.150","-","0.150","0.145","0.295","0.075","5016","","83","977735","100%","-0.003","0.66","33.39","Active","Real Time"
="0060WC","HM-WC","405","","","0.005","","-","-","0.045","0.005","0","","-","143225","40%","-0.001","","","Active","Real Time"
="0060WD","HM-WD","405","","","0.065","","-","-","0.100","0.040","0","","-","365475","50%","-0.003","","","Active","Real Time"
="0064","EFFICEN","102","0.090","0.090","0.095","-0.005","0.090","0.090","0.210","0.070","1023","","-","562685","64%","-0.002","0.35","27.07","Active","Real Time"
="0065","EFORCE","105","0.215","0.220","0.220","-","0.220","0.215","0.310","0.195","3691","","74","601090","40%","-0.003","0.83","26.44","Active","Real Time"
="0066","VSOLAR","405","0.050","0.050","0.050","-","0.055","0.045","0.085","0.030","25781","","90","351040","60%","0.002","-1.29","","Active","Real Time"
="0066WC","VSOLAR-WC","405","0.010","0.010","0.005","+0.005","0.010","0.010","0.030","0.005","8000","","-","200130","33%","-0.002","","","Active","Real Time"
="0068","ASDION","405","","","0.025","","-","-","0.035","0.015","0","","-","192120","50%","","0.75","2.59","Active, Alert","Real Time"
="0069","VINVEST","405","0.035","0.040","0.040","-","0.040","0.035","0.080","0.030","9370","","55","1200595","50%","","0.78","","Active","Real Time"
="0070","MQTECH","405","0.045","0.055","0.050","+0.005","0.055","0.045","0.130","0.045","11476","","84","85145","100%","","-1.14","","Active","Real Time"
="0072","ERDASAN","402","0.065","0.065","0.065","-","0.065","0.065","0.210","0.060","181","","-","105030","33%","-0.002","3.45","1.90","Active","Real Time"
="0074","GOCEAN","401","0.115","0.115","0.115","-","0.120","0.110","0.280","0.080","13217","","92","3629430","43%","-0.002","-1.01","","Active","Real Time"
="0074WB","GOCEAN-WB","401","","","0.005","","-","-","0.020","0.005","0","","-","264815","100%","","","","Active","Real Time"
="0075","LYC","462","","","0.020","","-","-","0.110","0.010","0","","-","74195","50%","-0.001","-2.64","","Active, Alert","Real Time"
="0078","GDEX","164","0.090","0.090","0.095","-0.005","0.095","0.090","0.200","0.085","5785","2.22%","65","1504975","50%","-0.005","-0.03","","Active","Real Time"
="0078WC","GDEX-WC","164","0.010","0.015","0.015","-","0.015","0.010","0.045","0.010","2598","","9","91640","50%","-0.002","","","Active","Real Time"
="0079","ALRICH","405","0.020","0.025","0.020","+0.005","0.025","0.020","0.035","0.015","8562","","67","346780","100%","","0.11","17.79","Active","Real Time"
="0080","STRAITS","464","0.075","0.080","0.080","-","0.080","0.075","0.110","0.065","7893","","-","361045","67%","","0.84","11.71","Active","Real Time"
="0081","REKATECH","402","0.030","0.035","0.035","-","0.035","0.025","0.050","0.025","8226","","49","395290","33%","","-1.30","","Active","Real Time"
="0082","GPACKET","163","0.035","0.040","0.040","-","0.040","0.035","0.055","0.020","2607","","-","2095510","50%","","-0.67","","Active","Real Time"
="0083","NOTION","105","0.625","0.620","0.625","-0.005","0.625","0.610","1.460","0.460","37635","3.23%","52","7277160","77%","0.015","8.66","7.24","Active","Real Time"
="0083WD","NOTION-WD","105","0.470","0.460","0.475","-0.015","0.475","0.450","0.975","0.260","3400","","19","542935","78%","0.022","","","Active","Real Time"
="0084","FAST","402","0.040","0.035","0.040","-0.005","0.040","0.035","0.075","0.030","341","","-","225860","60%","-0.001","-4.77","","Active","Real Time"
="0084WA","FAST-WA","402","","","0.005","","-","-","0.020","0.005","0","","-","88425","50%","-0.001","","","Active","Real Time"
="0084WB","FAST-WB","402","","","0.010","","-","-","0.030","0.005","0","","-","98005","33%","-0.002","","","Active","Real Time"
="0085","MLAB","405","0.060","0.065","0.065","-","0.065","0.060","0.105","0.055","407","","-","47980","50%","","-0.97","","Active","Real Time"
="0085WD","MLAB-WD","405","0.010","0.010","0.010","-","0.010","0.010","0.030","0.005","2000","","-","184350","33%","-0.003","","","Active","Real Time"
="0086","YGL","405","0.120","0.125","0.120","+0.005","0.125","0.120","0.195","0.110","179","","88","118910","50%","","0.08","96.65","Active","Real Time"
="0089","TEXCYCL","402","1.040","1.030","1.050","-0.020","1.050","1.030","1.220","0.805","2171","","31","272190","54%","-0.005","5.35","19.43","Active","Real Time"
="0090","ELSOFT","105","0.285","0.320","0.295","+0.025","0.320","0.285","0.465","0.260","37635","6.25%","91","399510","55%","-0.004","0.31","103.03","Active","Real Time"
="0091","PGB","161","0.085","0.085","0.085","-","0.085","0.085","0.200","0.075","23","","100","854345","40%","-0.003","-3.31","","Active","Real Time"
="0092","MTOUCHE","463","0.025","0.030","0.030","-","0.035","0.025","0.065","0.005","27077","","65","11272445","42%","","-1.63","","Active","Real Time"
="0093","SOLUTN","405","0.075","0.080","0.080","-","0.085","0.075","0.180","0.070","2536","","70","100070","56%","","-1.48","","Active","Real Time"
="0094","ZENTECH","405","0.010","0.010","0.010","-","0.010","0.005","0.015","0.005","8622","","2","585430","100%","","-0.34","","Active","Real Time"
="0095","MAG","401","0.170","0.175","0.175","-","0.175","0.170","0.220","0.160","4480","","2","2169440","33%","-0.001","2.22","9.58","Active","Real Time"
="0096","NEXGRAM","463","0.015","0.020","0.015","+0.005","0.020","0.015","0.020","0.010","6593","","69","269210","50%","","-0.50","","Active","Real Time"
="0096WD","NEXGRAM-WD","463","0.015","0.015","0.015","-","0.015","0.015","0.015","0.005","575","","100","115445","75%","","","","Active","Real Time"
="0097","VITROX","105","3.820","3.820","3.830","-0.010","3.860","3.810","4.300","2.280","11657","0.42%","69","1956905","46%","-0.006","4.78","80.87","Active","Real Time"
="009710","VITROX-C10","305","","","-","","-","-","0.100","0.010","0","","-","198050","42%","-0.007","","","Suspended","Real Time"
="009711","VITROX-C11","305","0.100","0.105","0.100","+0.005","0.105","0.100","0.130","0.085","855","","59","211315","39%","","","","Active","Real Time"
