"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0001","SCOMNET","162","0.860","0.840","0.840","-","0.860","0.835","1.460","0.795","3383","2.98%","55","408485","31%","-0.028","3.74","23.08","Active","Real Time"
="0002","KOTRA","162","4.260","4.210","4.260","-0.050","4.260","4.210","4.690","3.850","61","6.06%","5","6315","56%","0.007","28.64","14.70","Active","Real Time"
="0005","UCREST","405","0.075","0.070","0.070","-","0.075","0.070","0.145","0.065","14099","","36","643260","44%","-0.001","0.69","10.08","Active","Real Time"
="0006","PINEAPP","405","0.625","0.625","0.620","+0.005","0.625","0.625","0.740","0.550","1395","","6","145925","53%","-0.007","-3.64","","Active","Real Time"
="0007","PUC","463","0.020","0.020","0.020","-","0.020","0.020","0.050","0.010","1737","","-","2111595","33%","","-3.06","","Active","Real Time"
="0008","WILLOW","105","0.265","0.275","0.265","+0.010","0.275","0.265","0.320","0.240","3491","5.45%","90","248480","47%","","-3.86","","Active","Real Time"
="0010","IRIS","405","0.240","0.270","0.240","+0.030","0.270","0.240","0.360","0.235","14216","7.41%","63","160075","33%","-0.002","2.91","9.21","Active","Real Time"
="0011","BTECH","465","0.265","0.265","0.270","-0.005","0.265","0.265","0.330","0.235","450","3.77%","100","195095","47%","0.002","3.68","7.19","Active","Real Time"
="0012","3A","101","0.720","0.715","0.720","-0.005","0.720","0.715","0.935","0.705","816","3.92%","-","69385","50%","-0.002","8.89","8.10","Active","Real Time"
="0017","XOXTECH","463","0.025","0.035","0.025","+0.010","0.040","0.025","0.065","0.025","56178","","96","1208930","33%","-0.001","1.00","1.91","Active","Real Time"
="0018","LAMBO","405","","","0.005","","-","-","0.025","0.005","0","","-","5769605","25%","-0.004","0.19","2.64","Suspended, Alert","Real Time"
="0020","NETX","405","0.035","0.035","0.040","-0.005","0.035","0.035","0.125","0.030","4415","","100","57945","57%","-0.001","-3.02","","Active","Real Time"
="0020WD","NETX-WD","405","","","0.005","","-","-","0.030","0.005","0","","-","62780","50%","","","","Active","Real Time"
="0022","PARLO","401","","","0.020","","-","-","0.065","0.010","0","","-","545675","50%","","-1.41","","Active","Real Time"
="0022WA","PARLO-WA","401","","","0.005","","-","-","0.020","0.005","0","","-","68470","100%","","","","Active","Real Time"
="0023","IFCAMSC","405","0.300","0.330","0.300","+0.030","0.330","0.300","0.760","0.240","170643","3.03%","78","4172605","54%","0.005","2.86","10.54","Active","Real Time"
="0024","JAG","402","0.260","0.260","0.260","-","0.265","0.255","0.345","0.190","54014","","81","5988080","75%","0.004","0.96","30.05","Active","Real Time"
="0024WC","JAG-WC","402","0.025","0.025","0.025","-","0.025","0.025","0.045","0.015","4845","","3","666615","50%","","","","Active","Real Time"
="0025","YBS","402","0.285","0.290","0.285","+0.005","0.290","0.285","0.825","0.220","3872","","67","675400","61%","0.002","-3.57","","Active","Real Time"
="0026","NOVAMSC","405","0.045","0.050","0.050","-","0.050","0.045","0.180","0.040","1409","","-","366405","50%","","-0.57","","Active","Real Time"
="0028","SCOPE","402","0.120","0.120","0.120","-","0.125","0.120","0.120","0.070","43516","","28","1708315","70%","0.003","-0.74","","Active","Real Time"
="0029","DIGISTA","105","0.035","0.040","0.040","-","0.040","0.035","0.065","0.030","11","","-","634705","50%","","-1.37","","Active","Real Time"
="0029WC","DIGISTA-WC","105","","","0.005","","-","-","0.020","0.005","0","","-","43540","50%","-0.002","","","Active","Real Time"
="0029WD","DIGISTA-WD","105","","","0.005","","-","-","0.025","0.005","0","","-","186990","43%","-0.001","","","Active","Real Time"
="0032","REDTONE","163","0.530","0.530","0.530","-","0.530","0.520","1.040","0.455","13745","3.77%","22","801985","71%","-0.002","3.41","15.63","Active","Real Time"
="0032CD","REDTONE-CD","363","","","0.005","","-","-","0.020","0.005","0","","-","186355","33%","-0.003","","","Active","Real Time"
="0034","MMAG","464","0.675","0.660","0.675","-0.015","0.675","0.635","0.800","0.270","1859","","60","357445","93%","","-3.86","","Active","Real Time"
="0034WC","MMAG-WC","464","","","0.495","","-","-","0.640","0.200","0","","-","33170","56%","-0.006","","","Active","Real Time"
="0035","HEXCAP","463","0.235","0.235","0.235","-","0.235","0.235","0.405","0.205","1893","","87","1794675","48%","-0.004","-0.77","","Active","Real Time"
="0036","KGROUP","405","0.125","0.140","0.130","+0.010","0.140","0.125","0.330","0.005","15804","","49","193305","50%","","-0.40","","Active","Real Time"
="0037","RGB","101","0.275","0.280","0.275","+0.005","0.285","0.275","0.475","0.260","52433","14.29%","65","2651095","50%","-0.003","5.98","4.75","Active","Real Time"
="0038","ARTRONIQ","402","0.085","0.090","0.090","-","0.090","0.085","0.125","0.055","1509","","-","459795","57%","0.001","-1.37","","Active","Real Time"
="0038WA","ARTRONIQ-WA","402","0.005","0.010","0.005","+0.005","0.010","0.005","0.045","0.005","8003","","100","598515","50%","","","","Active","Real Time"
="0039","GFM","102","0.200","0.205","0.200","+0.005","0.210","0.195","0.285","0.165","26755","2.34%","84","1030665","71%","-0.001","3.13","6.56","Active","Real Time"
="0039WD","GFM-WD","102","0.055","0.060","0.055","+0.005","0.060","0.050","0.140","0.045","4846","","92","301650","100%","","","","Active","Real Time"
="0040","OPENSYS","105","0.320","0.325","0.320","+0.005","0.335","0.315","0.380","0.290","18126","5.54%","96","135465","57%","","2.67","12.12","Active","Real Time"
="0041","HONGSENG","105","0.005","0.010","0.005","+0.005","0.010","0.005","0.015","0.005","473","","100","1140750","50%","","0.25","4.57","Active","Real Time"
="0043","MTRONIC","102","0.010","0.010","0.010","-","0.010","0.010","0.020","0.005","3309","","-","1958995","33%","","-0.68","","Active","Real Time"
