"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Listed on"
="03041","1TECH","705","","","0.030","","-","-","0.030","0.030","0","","-","-","0%","","","","Active","700"
="0012","3A","101","","","0.715","","-","-","0.935","0.705","0","3.92%","-","69070","50%","-0.001","8.89","8.10","Active","100"
="0328","3REN","405","0.405","0.415","0.405","+0.010","0.415","0.395","0.490","0.200","75840","1.20%","56","7290980","66%","0.026","1.54","30.31","Active","400"
="5326","99SMART","101","2.610","2.640","2.610","+0.030","2.640","2.610","2.650","1.920","22549","0.47%","57","9481450","63%","0.054","5.84","45.23","Active","100"
="5326C1","99SMART-C1","301","","","0.320","","-","-","0.320","0.090","0","","-","67825","61%","0.028","","","Active","300"
="532610","99SMART-C10","301","","","0.085","","-","-","0.090","0.070","0","","-","-","0%","","","","Active","300"
="532611","99SMART-C11","301","0.155","0.165","0.160","+0.005","0.165","0.150","0.165","0.125","10063","","48","1347525","60%","","","","Active","300"
="532612","99SMART-C12","301","0.100","0.100","0.095","+0.005","0.100","0.100","0.115","0.075","100","","100","1024530","53%","","","","Active","300"
="532613","99SMART-C13","301","0.090","0.085","0.080","+0.005","0.090","0.085","0.095","0.065","611","","65","-","0%","","","","Active","300"
="532614","99SMART-C14","301","","","0.100","","-","-","0.105","0.085","0","","-","-","0%","","","","Active","300"
="532615","99SMART-C15","301","0.095","0.105","0.095","+0.010","0.105","0.095","0.100","0.090","1831","","62","-","0%","","","","Active","300"
="5326C2","99SMART-C2","301","","","0.035","","-","-","0.035","0.020","0","","-","179305","58%","","","","Active","300"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active","300"
="5326C4","99SMART-C4","301","0.125","0.125","0.125","-","0.125","0.125","0.135","0.070","299","","-","1018400","56%","0.004","","","Active","300"
="5326C5","99SMART-C5","301","","","0.140","","-","-","0.140","0.060","0","","-","441155","54%","0.012","","","Active","300"
="5326C6","99SMART-C6","301","0.190","0.200","0.200","-","0.200","0.190","0.205","0.075","1145","","91","381060","63%","0.015","","","Active","300"
="5326C7","99SMART-C7","301","","","0.110","","-","-","0.110","0.060","0","","-","830235","73%","0.017","","","Active","300"
="5326C8","99SMART-C8","301","","","0.205","","-","-","0.205","0.095","0","","-","140885","66%","0.029","","","Active","300"
="5326C9","99SMART-C9","301","","","0.145","","-","-","0.200","0.110","0","","-","-","0%","","","","Active","300"
="5326CT","99SMART-CT","301","","","0.005","","-","-","0.065","0.005","0","","-","208145","44%","-0.005","","","Suspended, Forbid","300"
="5326CX","99SMART-CX","301","","","0.070","","-","-","0.070","0.025","0","","-","338090","64%","0.004","","","Active","300"
="5326CY","99SMART-CY","301","","","0.225","","-","-","0.225","0.070","0","","-","475405","63%","0.017","","","Active","300"
="5326CZ","99SMART-CZ","301","","","0.200","","-","-","0.210","0.065","0","","-","97685","72%","0.018","","","Active","300"
="0365","A1AKK","401","0.215","0.215","0.215","-","0.220","0.210","0.255","0.210","1968","","70","596975","43%","-0.002","0.82","30.02","Active","400"
="0703CI","A50CHIN-CI","358","","","0.245","","-","-","0.350","0.150","0","","-","66750","60%","0.008","","","Active","300"
="0703CJ","A50CHIN-CJ","358","0.215","0.215","0.200","+0.015","0.215","0.215","0.265","0.130","1","","-","87735","50%","0.009","","","Active","300"
="0703CK","A50CHIN-CK","358","","","0.305","","-","-","0.305","0.265","0","","-","-","0%","","","","Active","300"
="07031A","A50CHIN-H1A","358","","","0.165","","-","-","0.185","0.160","0","","-","-","0%","","","","Active","300"
="070397","A50CHIN-H97","358","","","0.125","","-","-","0.420","0.125","0","","-","-","0%","","","","Active","300"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active","300"
="7054","AASIA","125","0.105","0.105","0.105","-","0.105","0.105","0.115","0.075","1","","-","65230","67%","0.003","-0.50","","Active","100"
="5238","AAX","101","1.460","1.460","1.450","+0.010","1.470","1.450","2.160","1.230","3303","","43","658215","41%","-0.017","51.30","2.85","Active","100"
="523828","AAX-C28","301","","","0.040","","-","-","0.170","0.040","0","","-","326820","33%","-0.011","","","Active","300"
="523829","AAX-C29","301","","","0.050","","-","-","0.075","0.050","0","","-","-","0%","","","","Active","300"
="0800EA","ABFMY1","657","1.234","1.234","1.236","-0.002","1.234","1.234","1.266","1.190","50","","100","17530","24%","-0.004","","","Active","600"
="7167","ABLEGLOB","101","1.520","1.530","1.530","-","1.540","1.520","2.050","1.260","76","4.90%","8","147050","39%","0.001","22.43","6.79","Active","100"
="7086","ABLEGRP","102","","","0.085","","-","-","0.100","0.070","0","","-","125335","57%","0.001","0.01","975.28","Active","100"
="2488","ABMB","110","4.340","4.350","4.340","+0.010","4.360","4.340","5.400","3.930","10228","4.46%","35","5788905","35%","-0.040","48.49","10.03","Active","100"
="248819","ABMB-C19","310","","","0.005","","-","-","0.080","0.005","0","","-","317605","25%","-0.006","","","Active","300"
="248820","ABMB-C20","310","0.090","0.090","0.090","-","0.090","0.090","0.160","0.090","1500","","33","84150","32%","-0.009","","","Active","300"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active","300"
="248822","ABMB-C22","310","","","0.060","","-","-","0.085","0.060","0","","-","-","0%","","","","Active","300"
="248823","ABMB-C23","310","","","0.175","","-","-","0.180","0.150","0","","-","-","0%","","","","Active","300"
="248824","ABMB-C24","310","","","0.105","","-","-","0.190","0.100","0","","-","263350","24%","-0.010","","","Active","300"
="248825","ABMB-C25","310","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","300"
="7131","ACME","120","","","0.110","","-","-","0.210","0.105","0","","-","227490","50%","-0.001","1.43","7.88","Active","100"
="0218","ACO","402","0.210","0.205","0.205","-","0.210","0.205","0.255","0.185","504","0.98%","-","158295","44%","","1.42","14.46","Active","400"
="0276","ADB","405","1.020","1.020","1.030","-0.010","1.030","1.020","1.290","0.830","4333","3.92%","8","902100","27%","-0.011","3.56","28.67","Active","400"
="5281","ADVCON","103","0.210","0.210","0.210","-","0.210","0.210","0.260","0.205","960","","100","469645","27%","-0.002","-3.82","","Active","100"
="7191","ADVENTA","162","0.165","0.170","0.165","+0.005","0.175","0.165","0.335","0.150","2589","","89","176240","45%","-0.003","0.69","25.02","Active","100"
="7146","AEM","102","0.045","0.040","0.045","-0.005","0.045","0.040","0.115","0.035","62","","35","1025415","50%","","-6.84","","Active","100"
="0181","AEMULUS","405","0.270","0.275","0.270","+0.005","0.280","0.265","0.320","0.180","27543","","88","1368775","69%","","-3.26","","Active","400"
="6599","AEON","101","1.230","1.240","1.230","+0.010","1.260","1.220","1.610","1.220","11511","3.63%","62","1829160","27%","-0.025","9.12","13.60","Active","100"
="659938","AEON-C38","301","","","0.005","","-","-","0.135","0.020","0","","-","66050","27%","","","","Active","300"
="659939","AEON-C39","301","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active","300"
="659940","AEON-C40","301","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active","300"
="659941","AEON-C41","301","0.035","0.040","0.035","+0.005","0.040","0.035","0.105","0.035","4509","","69","275860","29%","","","","Active","300"
="659942","AEON-C42","301","","","0.055","","-","-","0.055","0.050","0","","-","-","0%","","","","Active","300"
="659943","AEON-C43","301","","","0.040","","-","-","0.060","0.040","0","","-","-","0%","","","","Active","300"
="659944","AEON-C44","301","","","0.040","","-","-","0.060","0.040","0","","-","-","0%","","","","Active","300"
="5139","AEONCR","110","5.390","5.290","5.380","-0.090","5.460","5.250","7.400","4.850","13034","5.43%","39","798355","79%","0.028","72.58","7.29","Active","100"
="5185","AFFIN","110","2.330","2.350","2.330","+0.020","2.350","2.330","3.140","2.210","7617","","66","2780995","73%","-0.012","21.45","11.68","Active","100"
="518521","AFFIN-C21","310","","","0.025","","-","-","0.145","0.025","0","","-","194045","12%","-0.018","","","Active","300"
="518522","AFFIN-C22","310","","","0.015","","-","-","0.050","0.010","0","","-","-","0%","","","","Active","300"
="518523","AFFIN-C23","310","","","0.020","","-","-","0.150","0.020","0","","-","-","0%","","","","Active","300"
="518524","AFFIN-C24","310","","","0.025","","-","-","0.040","0.025","0","","-","-","0%","","","","Active","300"
="518525","AFFIN-C25","310","","","0.090","","-","-","0.095","0.090","0","","-","-","0%","","","","Active","300"
="5198","AFUJIYA","102","","","0.310","","-","-","0.400","0.240","0","","-","18455","55%","-0.005","-7.06","","Active","100"
="0258","AGMO","405","0.450","0.450","0.455","-0.005","0.455","0.445","0.610","0.325","5420","3.33%","54","2029115","50%","-0.016","2.50","15.89","Active","400"
="0309","AGRICOR","401","0.465","0.470","0.465","+0.005","0.470","0.465","0.575","0.335","530","","77","175695","13%","-0.005","-0.40","","Active","400"
="0299","AGX","464","0.470","0.455","0.470","-0.015","0.470","0.450","0.635","0.450","10334","1.98%","45","170790","28%","-0.008","2.94","15.63","Active","400"
="7315","AHB","101","0.030","0.030","0.030","-","0.035","0.030","0.050","0.025","5612","","73","3078415","50%","","-0.80","","Active","100"
="7315WC","AHB-WC","101","0.010","0.015","0.015","-","0.015","0.010","0.020","0.005","3313","","40","546295","56%","","","","Active","100"
="7090","AHEALTH","162","2.420","2.410","2.430","-0.020","2.420","2.400","2.770","1.900","414","3.73%","32","57470","38%","-0.002","10.70","22.71","Active","100"
="0122","AIM","402","0.025","0.025","0.025","-","0.025","0.025","0.095","0.015","700","","43","216650","100%","-0.001","-1.68","","Active","400"
="0122WA","AIM-WA","402","","","0.005","","-","-","0.035","0.005","0","","-","350850","50%","-0.001","","","Active","400"
="0209","AIMFLEX","405","0.085","0.090","0.085","+0.005","0.095","0.085","0.185","0.075","48117","","61","2140095","67%","-0.001","0.56","15.84","Active","400"
="7219","AIZO","102","0.065","0.065","0.065","-","0.065","0.060","0.160","0.060","4740","","91","1927975","50%","-0.001","-0.39","","Active","100"
="7219PA","AIZO-PA","102","0.020","0.025","0.025","","0.025","0.020","","","1151","","-","-","","","","","Active","-"
="2658","AJI","101","13.500","13.520","13.500","","13.560","13.440","","","92","","-","-","","","81.68","","Active","-"
="7609","AJIYA","102","2.350","2.370","2.350","","2.390","2.320","","","2354","","-","-","","","18.97","","Active","-"
="5115","ALAM","161","0.165","0.165","0.165","","0.170","0.165","","","4909","","-","-","","","2.22","","Active, Alert","-"
="5115WB","ALAM-WB","161","0.060","0.055","0.055","","0.060","0.055","","","1078","","-","-","","","","","Active, Alert","-"
="5116","ALAQAR","150","1.250","1.250","1.250","","1.260","1.250","","","217","","-","-","","","6.94","","Active","-"
="2674","ALCOM","102","0.805","0.805","0.800","","0.810","0.800","","","693","","-","-","","","-2.91","","Active","-"
="058241","ALIBABA-C41","358","0.530","0.555","0.300","","0.600","0.530","","","39","","-","-","","","","","Active","-"
="058243","ALIBABA-C43","358","0.000","","0.010","","-","-","","","0","","-","-","","","","","Active","-"
="058244","ALIBABA-C44","358","0.205","0.185","0.205","","0.205","0.185","","","40392","","-","-","","","","","Active","-"
="058245","ALIBABA-C45","358","0.255","0.250","0.245","","0.260","0.250","","","1358","","-","-","","","","","Active","-"
="058246","ALIBABA-C46","358","0.195","0.195","0.215","","0.195","0.195","","","1250","","-","-","","","","","Active","-"
="058247","ALIBABA-C47","358","0.350","0.320","0.320","","0.350","0.310","","","478","","-","-","","","","","Active","-"
="058248","ALIBABA-C48","358","0.550","0.540","0.540","","0.550","0.540","","","400","","-","-","","","","","Active","-"
="05821E","ALIBABA-H1E","358","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active","-"
="05821F","ALIBABA-H1F","358","0.000","","0.030","","-","-","","","0","","-","-","","","","","Active","-"
="1163","ALLIANZ","110","18.920","18.920","18.920","","18.980","18.880","","","1427","","-","-","","","401.46","","Active","-"
="1163PA","ALLIANZ-PA","110","18.160","18.240","18.060","","18.240","18.100","","","266","","-","-","","","","","Active","-"
="0303","ALPHA","462","0.305","0.315","0.305","","0.315","0.300","","","106611","","-","-","","","1.18","","Active","-"
="0079","ALRICH","405","0.015","0.020","0.020","","0.020","0.015","","","7252","","-","-","","","0.11","","Active","-"
="5269","ALSREIT","150","0.430","0.445","0.430","","0.445","0.430","","","445","","-","-","","","0.91","","Active","-"
="1015","AMBANK","110","5.600","5.600","5.630","","5.620","5.590","","","64136","","-","-","","","60.56","","Active","-"
="101551","AMBANK-C51","310","0.040","0.035","0.045","-0.010","0.040","0.035","0.140","0.020","800","","-","310020","50%","","","","Active","300"
="101552","AMBANK-C52","310","","","0.030","","-","-","0.100","0.030","0","","-","177750","46%","","","","Active","300"
="101553","AMBANK-C53","310","","","0.035","","-","-","0.065","0.035","0","","-","-","0%","","","","Active","300"
="101554","AMBANK-C54","310","","","0.105","","-","-","0.110","0.075","0","","-","-","0%","","","","Active","300"
="101555","AMBANK-C55","310","","","0.195","","-","-","0.195","0.125","0","","-","-","79%","","","","Active","300"
="101556","AMBANK-C56","310","","","0.050","","-","-","0.050","0.050","0","","-","-","0%","","","","Active","300"
="101557","AMBANK-C57","310","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","300"
="0744C1","AMD-C1","358","","","0.040","","-","-","0.060","0.040","0","","-","-","0%","","","","Active","300"
="5293","AME","103","1.540","1.560","1.530","+0.030","1.560","1.540","1.840","1.460","561","3.85%","75","289535","47%","0.004","14.41","8.15","Active","100"
="5293WA","AME-WA","103","","","0.065","","-","-","0.190","0.035","0","","-","82665","50%","-0.007","","","Active","100"
="5307","AMEREIT","150","1.540","1.500","1.510","-0.010","1.540","1.500","1.730","1.360","747","4.95%","30","51915","46%","-0.008","9.12","16.55","Active","100"
="5120","AMFIRST","150","0.315","0.315","0.315","-","0.320","0.315","0.315","0.270","6952","7.62%","96","209570","67%","0.002","3.59","8.77","Active","100"
="03011","AMLEX","705","","","0.250","","-","-","0.450","0.200","0","","-","411665","45%","-0.032","","","Active","700"
="7031","AMTEL","163","0.405","0.405","0.415","-0.010","0.410","0.405","0.575","0.315","1055","","80","35185","60%","","5.69","7.35","Active","100"
="6351","AMWAY","101","4.930","4.930","4.910","+0.020","4.940","4.930","7.060","4.520","113","12.17%","38","59675","54%","-0.008","58.58","8.42","Active","100"
="7083","ANALABS","102","1.850","1.850","1.850","-","1.850","1.850","1.920","1.550","30","2.16%","100","17860","68%","0.031","33.88","5.46","Active","100"
="0048","ANCOMLB","464","0.090","0.090","0.090","-","0.090","0.090","0.140","0.085","6763","","29","318980","50%","-0.001","-0.21","60.25","Active","400"
="4758","ANCOMNY","102","0.900","0.905","0.905","-","0.905","0.895","1.100","0.875","25918","0.06%","25","1386565","50%","-0.002","6.09","16.50","Active","100"
="4758CT","ANCOMNY-CT","302","","","0.020","","-","-","0.020","0.015","0","","-","-","0%","","","","Active","300"
="4758CU","ANCOMNY-CU","302","","","0.045","","-","-","0.110","0.045","0","","-","-","0%","","","","Active","300"
="0226","ANEKA","403","0.145","0.150","0.150","-","0.150","0.145","0.180","0.125","1036","","5","456995","55%","0.003","0.50","23.95","Active","400"
="6556","ANNJOO","102","0.700","0.715","0.700","+0.015","0.720","0.700","0.990","0.560","2872","3.50%","71","319470","52%","-0.004","-40.54","","Active","100"
="6556WC","ANNJOO-WC","102","0.200","0.200","0.195","+0.005","0.205","0.200","0.345","0.125","230","","65","46375","51%","-0.002","","","Active","100"
="03051","AORB","701","","","3.270","","-","-","3.420","3.270","0","","-","43155","55%","0.546","","","Active","700"
="5568","APB","102","0.210","0.210","0.210","-","0.210","0.210","0.620","0.180","32","","100","322015","65%","-0.002","-70.73","","Active","100"
="5088","APEX","110","0.880","0.880","0.880","-","0.880","0.880","1.040","0.820","22","","100","193020","55%","-0.002","3.61","25.68","Active","100"
="5015","APM","102","3.130","3.120","3.150","-0.030","3.130","3.080","3.580","2.700","90","8.97%","-","47255","47%","-0.057","43.79","5.42","Active","100"
="6432","APOLLO","101","6.400","6.500","6.400","+0.100","6.650","6.400","7.030","5.700","99","7.69%","86","6610","59%","0.025","50.22","12.94","Active","100"
="0119","APPASIA","405","","","0.105","","-","-","0.155","0.090","0","","-","331595","67%","","0.24","53.92","Active","400"
="052819","APPLE-C19","358","0.110","0.110","0.150","","0.110","0.110","","","450","","-","-","0%","","","","Active","300"
="7214","ARANK","102","0.420","0.430","0.470","","0.430","0.420","","","60","","-","-","","","8.59","","Active","-"
="7181","ARBB","105","0.030","0.035","0.030","","0.035","0.030","","","11116","","-","-","","","0.15","","Active","-"
="7007","ARK","120","0.000","","0.285","","-","-","","","0","","-","-","","","3.26","","Active","-"
="7218","ARKA","164","0.000","","0.700","","-","-","","","0","","-","-","","","-11.01","","Active","-"
="5210","ARMADA","161","0.350","0.350","0.345","","0.355","0.345","","","153036","","-","-","","","10.70","","Active","-"
="52101A","ARMADA-C1A","361","0.000","","0.010","","-","-","","","0","","-","-","","","","","Suspended, Forbid","-"
="52101B","ARMADA-C1B","361","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active","-"
="52101C","ARMADA-C1C","361","0.000","","0.020","","-","-","","","0","","-","-","","","","","Active","-"
="52101D","ARMADA-C1D","361","0.000","","0.010","","-","-","","","0","","-","-","","","","","Active","-"
="52101E","ARMADA-C1E","361","0.000","","0.015","","-","-","","","0","","-","-","","","","","Active","-"
="52101F","ARMADA-C1F","361","0.010","0.010","0.010","","0.010","0.010","","","3000","","-","-","","","","","Active","-"
="52101G","ARMADA-C1G","361","0.000","","0.010","","-","-","","","0","","-","-","","","","","Active","-"
="52101H","ARMADA-C1H","361","0.000","","0.015","","-","-","","","0","","-","-","","","","","Active","-"
="52101I","ARMADA-C1I","361","0.000","","0.150","","-","-","","","0","","-","-","","","","","Active","-"
="521098","ARMADA-C98","361","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active","-"
="5127","ARREIT","150","0.360","0.360","0.365","","0.360","0.360","","","10","","-","-","","","0.87","","Active","-"
="0038","ARTRONIQ","402","0.085","0.085","0.090","","0.085","0.085","","","2325","","-","-","","","-1.37","","Active","-"
="0038WA","ARTRONIQ-WA","402","0.005","0.005","0.010","","0.005","0.005","","","3200","","-","-","","","","","Active","-"
="1481","ASB","101","0.070","0.070","0.075","","0.075","0.070","","","13051","","-","-","","","-2.32","","Active","-"
="0068","ASDION","405","0.020","0.020","0.025","","0.020","0.020","","","4660","","-","-","","","0.75","","Active, Alert","-"
="7722","ASIABRN","101","","","0.485","","-","-","0.580","0.420","0","4.12%","-","22395","50%","-0.006","1.29","37.66","Active","100"
="7129","ASIAFLE","101","1.340","1.340","1.340","-","1.350","1.340","1.940","1.300","309","1.49%","34","111975","58%","-0.007","-22.53","","Active","100"
="4057","ASIAPAC","120","0.100","0.100","0.100","-","0.105","0.100","0.110","0.080","4405","","23","448490","57%","","8.27","1.23","Active","100"
="0105","ASIAPLY","402","0.180","0.185","0.180","+0.005","0.185","0.180","0.190","0.060","66784","","32","4637320","73%","0.007","-1.05","","Active","400"
="0362","ASM","402","0.175","0.175","0.175","-","0.180","0.170","0.205","0.155","46171","","31","3625180","50%","","1.30","17.75","Active","400"
="7020","ASTEEL","102","","","0.070","","-","-","0.090","0.060","0","","-","50250","67%","","-0.47","","Active","100"
="7162","ASTINO","102","0.520","0.520","0.520","-","0.520","0.520","0.640","0.490","53","","-","43370","53%","-0.004","7.62","6.91","Active","100"
="03032","ASTRA","701","","","0.500","","-","-","0.500","0.500","0","","-","-","0%","","","","Active","700"
="6399","ASTRO","163","0.135","0.135","0.135","-","0.140","0.135","0.290","0.135","12360","","14","4273455","33%","-0.002","2.47","5.53","Active","100"
="5302","ATECH","102","1.140","1.110","1.130","-0.020","1.140","1.090","3.630","0.980","6839","7.84%","35","857305","74%","-0.004","14.70","23.66","Active","100"
="5302CL","ATECH-CL","302","0.035","0.030","0.030","-","0.035","0.030","0.100","0.020","1560","","64","291000","33%","-0.009","","","Active","300"
="5302CM","ATECH-CM","302","","","0.150","","-","-","0.150","0.150","0","","-","-","0%","","","","Active","300"
="5302CN","ATECH-CN","302","0.055","0.055","0.060","-0.005","0.055","0.055","0.065","0.040","10200","","2","-","0%","","","","Active","300"
="5302CO","ATECH-CO","302","","","0.150","","-","-","","","0","","-","-","0%","","","","Active","300"
="5302CP","ATECH-CP","302","0.060","0.060","0.065","-0.005","0.060","0.060","0.065","0.060","120","","100","-","0%","","","","Active","300"
="5302WA","ATECH-WA","102","0.280","0.265","0.275","-0.010","0.280","0.260","0.415","0.185","6336","","20","1202505","78%","0.003","","","Active","100"
="7048","ATLAN","101","","","2.450","","-","-","2.850","2.330","0","5.20%","-","4150","50%","-0.008","20.00","9.36","Active","100"
="5130","ATRIUM","150","1.310","1.300","1.310","-0.010","1.310","1.300","1.340","1.180","3161","6.55%","12","54245","56%","","17.55","7.41","Active","100"
="0098","AUMAS","402","0.760","0.765","0.760","+0.005","0.770","0.750","0.995","0.510","62888","","44","5937035","89%","0.042","2.49","42.85","Active","400"
="5025","AURO","102","0.150","0.150","0.150","-","0.150","0.150","0.185","0.125","24111","","100","3604605","57%","-0.001","-1.26","","Active","100"
="03037","AURORA","701","","","0.220","","-","-","","","0","","-","-","0%","","","","Active","700"
="03059","AUTORIS","710","","","0.495","","-","-","0.500","0.200","0","","-","-","0%","","","","Active","700"
="5182","AVALAND","120","0.250","0.250","0.250","-","0.250","0.250","0.340","0.200","576","","38","577595","60%","-0.004","6.79","3.68","Active","100"
="5259","AVANGAAD","164","0.300","0.300","0.300","-","0.305","0.295","0.365","0.260","61565","","90","7449115","50%","0.002","16.45","2.58","Active","100"
="8885","AVI","101","0.075","0.080","0.080","-","0.080","0.070","0.085","0.030","89909","","54","3955525","50%","0.005","-0.59","","Active","100"
="5204","AWANTEC","105","0.315","0.310","0.315","","0.320","0.310","","","4039","","-","-","","","-3.93","","Active","100"
="5204WA","AWANTEC-WA","105","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active","-"
="7579","AWC","102","0.640","0.660","0.635","","0.660","0.640","","","30973","","-","-","","","7.60","","Active","-"
="6888","AXIATA","163","2.640","2.630","2.630","","2.660","2.630","","","54302","","-","-","","","10.30","","Active","-"
="68881K","AXIATA-C1K","363","0.000","","0.095","","-","-","","","0","","-","-","","","","","Active","-"
="68881L","AXIATA-C1L","363","0.000","","0.365","","-","-","","","0","","-","-","","","","","Active","-"
="68881M","AXIATA-C1M","363","0.000","","0.220","","-","-","","","0","","-","-","","","","","Active","-"
="68881N","AXIATA-C1N","363","0.275","0.275","0.270","","0.275","0.275","","","500","","-","-","","","","","Active","-"
="68881O","AXIATA-C1O","363","0.000","","0.090","","-","-","","","0","","-","-","","","","","Active","-"
="68881P","AXIATA-C1P","363","0.000","","0.180","","-","-","","","0","","-","-","","","","","Active","-"
="68881Q","AXIATA-C1Q","363","0.000","","0.170","","-","-","","","0","","-","-","","","","","Active","-"
="68881R","AXIATA-C1R","363","0.160","0.155","0.150","","0.160","0.155","","","1000","","-","-","","","","","Active","-"
="68881S","AXIATA-C1S","363","0.000","","0.100","","-","-","","","0","","-","-","","","","","Active","-"
="68881T","AXIATA-C1T","363","0.000","","0.115","","-","-","","","0","","-","-","","","","","Active","-"
="68881U","AXIATA-C1U","363","0.000","","0.060","","-","-","","","0","","-","-","","","","","Active","-"
="5106","AXREIT","150","2.060","2.050","2.050","","2.060","2.040","","","12218","","-","-","","","11.80","","Active","-"
="7120","AXTERIA","120","0.090","0.090","0.090","","0.090","0.090","","","340","","-","-","","","-1049.10","","Active","-"
="2305","AYER","120","0.000","","7.170","","-","-","","","0","","-","-","","","49.33","","Active","-"
="5021","AYS","102","0.265","0.270","0.270","","0.270","0.265","","","401","","-","-","","","-1.08","","Active","-"
="5329","AZAMJAYA","103","1.010","1.010","1.030","","1.020","1.000","","","1206","","-","-","","","2.56","","Active","-"
="7078","AZRB","103","0.210","0.210","0.210","","0.215","0.210","","","5667","","-","-","","","13.86","","Active","-"
="03012","BABA","701","0.000","","0.440","","-","-","","","0","","-","-","","","","","Active","-"
="0736C4","BAIDU-C4","358","0.305","0.285","0.385","","0.305","0.285","","","1160","","-","-","","","","","Active","-"
="0736C5","BAIDU-C5","358","0.000","","0.400","","-","-","","","0","","-","-","","","","","Active","-"
="0736C6","BAIDU-C6","358","0.000","","0.450","","-","-","","","0","","-","-","","","","","Active","-"
="4162","BAT","101","5.190","5.150","5.190","-0.040","5.200","5.140","8.260","4.160","2056","11.46%","16","239455","95%","0.076","64.10","8.03","Active","100"
="416237","BAT-C37","301","0.070","0.065","0.080","-0.015","0.070","0.065","0.100","0.020","10130","","65","443200","72%","0.007","","","Active","300"
="416238","BAT-C38","301","0.065","0.065","0.060","+0.005","0.065","0.065","0.090","0.025","1000","","42","309180","43%","0.003","","","Active","300"
="416239","BAT-C39","301","0.200","0.200","0.200","-","0.200","0.200","0.240","0.135","700","","-","85975","54%","","","","Active","300"
="416240","BAT-C40","301","0.055","0.055","0.045","+0.010","0.055","0.055","0.050","0.045","4900","","14","-","0%","","","","Active","300"
="5248","BAUTO","101","0.660","0.680","0.660","+0.020","0.680","0.660","2.360","0.600","37741","24.63%","52","6982240","50%","-0.014","13.35","4.75","Active","100"
="524844","BAUTO-C44","301","","","0.005","","-","-","0.065","0.005","0","","-","514020","17%","-0.013","","","Suspended, Forbid","300"
="524845","BAUTO-C45","301","0.005","0.005","0.005","-","0.005","0.005","0.115","0.005","471","","100","1631195","15%","-0.031","","","Active","300"
="524846","BAUTO-C46","301","","","0.005","","-","-","0.040","0.005","0","","-","1352245","25%","-0.003","","","Active","300"
="524847","BAUTO-C47","301","0.010","0.005","0.005","-","0.010","0.005","0.025","0.005","700","","71","296060","33%","-0.003","","","Active","300"
="524848","BAUTO-C48","301","","","0.035","","-","-","0.075","0.025","0","","-","147035","44%","","","","Active","300"
="524849","BAUTO-C49","301","0.035","0.035","0.035","-","0.035","0.035","0.075","0.025","320","","-","-","47%","","","","Active","300"
="524850","BAUTO-C50","301","","","0.070","","-","-","0.080","0.050","0","","-","-","0%","","","","Active","300"
="6602","BCB","120","","","0.270","","-","-","0.360","0.260","0","","-","29215","43%","-0.001","2.19","11.59","Active","100"
="0187","BCMALL","402","0.005","0.005","0.010","-0.005","0.010","0.005","0.015","0.005","1002","","100","6425010","50%","","-0.44","","Active","400"
="6173","BDB","120","0.230","0.240","0.235","+0.005","0.240","0.230","0.305","0.210","1747","","83","59370","50%","-0.002","0.84","28.78","Active","100"
="6378","BEDI","120","0.300","0.300","0.300","-","0.300","0.295","0.590","0.260","435","","98","42555","44%","-0.005","-1.48","","Active","100"
="5190","BENALEC","103","0.090","0.085","0.085","-","0.090","0.085","0.130","0.080","570","","21","559475","55%","","1.26","7.21","Active","100"
="9814","BERTAM","120","","","0.110","","-","-","0.210","0.085","0","","-","75240","43%","-0.002","0.50","29.31","Active","100"
="9814WA","BERTAM-WA","120","0.015","0.015","0.020","-0.005","0.015","0.015","0.045","0.015","2500","","-","130225","43%","-0.002","","","Active","100"
="7668","BESHOM","101","0.655","0.650","0.645","+0.005","0.655","0.650","0.910","0.580","286","6.15%","46","30035","100%","0.004","2.96","22.48","Active","100"
="0263","BETA","402","0.415","0.420","0.415","+0.005","0.425","0.415","0.475","0.355","2865","10.12%","71","326760","38%","-0.003","5.58","7.53","Active","400"
="8133","BHIC","164","0.280","0.270","0.260","+0.010","0.280","0.270","0.490","0.210","40","0.11%","100","30480","52%","-0.002","1.34","20.14","Active","100"
="7005","BIG","102","0.525","0.520","0.530","-0.010","0.525","0.515","0.700","0.485","850","","24","153660","57%","0.002","7.31","7.11","Active","100"
="5258","BIMB","110","2.280","2.300","2.280","+0.020","2.310","2.280","2.810","2.190","2930","6.57%","80","1153850","41%","-0.003","25.20","9.13","Active","100"
